#	z_max	r_eq	V_L
2.7041e-09	2.464e-08	3.17101e-24
3.55727e-09	3.16506e-08	6.00859e-24
3.51136e-09	2.464e-08	2.59722e-24
4.04357e-09	4.37316e-08	1.19068e-23
4.36405e-09	3.16506e-08	5.88126e-24
3.63955e-09	2.40161e-08	3.74663e-24
3.18571e-09	2.27169e-08	3.03831e-24
2.95926e-09	2.52485e-08	3.19021e-24
3.23448e-09	3.48462e-08	9.1058e-24
3.87111e-09	2.64234e-08	5.04677e-24
3.1801e-09	2.40161e-08	3.0932e-24
2.86918e-09	2.64234e-08	3.93437e-24
3.74286e-09	2.40161e-08	3.47343e-24
3.51607e-09	2.58426e-08	4.16729e-24
2.61889e-09	2.52485e-08	3.60761e-24
3.55775e-09	3.3058e-08	3.5685e-24
4.46533e-09	2.96704e-08	6.01639e-24
4.10101e-09	3.06765e-08	5.20671e-24
3.9164e-09	2.464e-08	2.90573e-24
8.22981e-10	7.79184e-09	6.43546e-26
4.60964e-09	4.19604e-08	1.19225e-23
3.72391e-09	2.80939e-08	4.12898e-24
2.20751e-09	1.9086e-08	1.90103e-24
3.61778e-09	3.3514e-08	6.75479e-24
4.04205e-09	2.64234e-08	5.03638e-24
2.71542e-09	1.98654e-08	1.7428e-24
3.80583e-09	3.73684e-08	8.31788e-24
1.79919e-09	2.40161e-08	2.25912e-24
3.06951e-09	2.75483e-08	4.53988e-24
3.9976e-09	3.3514e-08	6.45182e-24
2.8795e-09	2.52485e-08	3.28263e-24
3.33419e-09	3.61293e-08	7.41481e-24
3.94687e-09	3.39638e-08	6.50184e-24
3.20066e-09	2.64234e-08	3.86759e-24
3.06475e-09	1.82735e-08	1.4417e-24
4.46417e-09	3.61293e-08	1.0579e-23
3.15093e-09	2.52485e-08	4.35266e-24
2.75172e-09	1.9086e-08	2.32178e-24
2.56242e-09	2.33755e-08	2.66237e-24
3.14108e-09	2.20387e-08	2.76611e-24
3.04345e-09	4.57667e-08	1.08437e-23
2.98106e-09	3.6547e-08	7.76494e-24
3.47234e-09	3.01777e-08	3.68394e-24
4.0753e-09	3.6547e-08	9.01446e-24
3.34489e-09	1.82735e-08	1.31551e-24
3.47072e-09	3.25956e-08	6.65502e-24
4.83392e-09	3.3514e-08	8.46167e-24
4.12459e-09	3.01777e-08	4.59328e-24
3.96984e-09	3.52791e-08	7.41201e-24
3.45428e-09	2.58426e-08	2.4349e-24
3.37381e-09	1.98654e-08	1.24963e-24
3.97781e-09	4.40773e-08	1.14823e-23
3.27187e-09	2.64234e-08	2.73332e-24
3.80986e-09	2.64234e-08	3.71518e-24
3.2405e-09	3.16506e-08	5.69552e-24
3.32169e-09	3.01777e-08	5.16239e-24
3.75506e-09	2.64234e-08	4.37416e-24
3.81366e-09	2.75483e-08	4.66387e-24
3.92431e-09	3.77724e-08	7.85619e-24
3.16621e-09	2.20387e-08	2.30245e-24
4.52643e-09	2.80939e-08	4.05709e-24
4.57077e-09	3.48462e-08	7.42897e-24
3.42875e-09	3.61293e-08	8.41053e-24
3.41559e-09	4.33831e-08	1.12931e-23
2.76489e-09	2.27169e-08	2.88096e-24
2.48899e-09	2.40161e-08	3.18596e-24
3.56948e-09	2.96704e-08	4.95664e-24
4.26692e-09	3.21266e-08	6.72737e-24
3.46761e-09	2.80939e-08	3.95246e-24
4.52283e-09	4.08608e-08	9.7164e-24
3.82563e-09	2.75483e-08	4.82508e-24
3.47971e-09	2.69917e-08	4.89268e-24
3.48773e-09	2.64234e-08	3.18632e-24
3.60944e-09	3.06765e-08	5.21233e-24
2.84966e-09	2.91544e-08	4.75637e-24
5.25744e-09	3.89592e-08	9.44582e-24
3.84099e-09	2.52485e-08	2.4795e-24
3.28729e-09	2.80939e-08	4.22408e-24
3.98527e-09	2.58426e-08	3.15881e-24
3.07653e-09	3.3058e-08	6.12245e-24
3.57119e-09	2.06153e-08	1.96746e-24
3.38818e-09	1.6529e-08	7.95267e-25
4.44757e-09	3.25956e-08	6.98224e-24
5.21395e-09	3.52791e-08	8.32881e-24
3.71285e-09	4.15971e-08	1.14415e-23
2.52155e-09	2.13388e-08	2.08191e-24
3.05721e-09	1.98654e-08	1.28982e-24
3.1495e-09	3.61293e-08	7.59562e-24
3.65361e-09	3.89592e-08	1.07348e-23
4.45579e-09	4.12305e-08	1.09505e-23
4.43363e-09	2.96704e-08	5.87623e-24
3.17207e-09	2.33755e-08	2.40866e-24
3.67804e-09	2.52485e-08	3.44556e-24
4.29908e-09	2.58426e-08	2.96678e-24
3.75863e-09	3.48462e-08	7.24151e-24
2.62271e-09	2.06153e-08	2.06328e-24
4.36513e-09	2.75483e-08	4.13561e-24
3.63754e-09	3.77724e-08	6.89774e-24
4.49952e-09	4.47607e-08	1.1792e-23
3.03926e-09	2.64234e-08	3.56449e-24
2.47725e-09	1.232e-08	3.46046e-25
