rel. 1/cm	CCD cts
 2.55167E+02	 6.19000E+02
 2.55553E+02	 6.19600E+02
 2.55938E+02	 6.18400E+02
 2.56323E+02	 6.17200E+02
 2.56709E+02	 6.19200E+02
 2.57094E+02	 6.17600E+02
 2.57479E+02	 6.19200E+02
 2.57864E+02	 6.17200E+02
 2.58250E+02	 6.19000E+02
 2.58635E+02	 6.19000E+02
 2.59020E+02	 6.18400E+02
 2.59405E+02	 6.17000E+02
 2.59790E+02	 6.18000E+02
 2.60175E+02	 6.17200E+02
 2.60560E+02	 6.17200E+02
 2.60945E+02	 6.19200E+02
 2.61330E+02	 6.18000E+02
 2.61715E+02	 6.18000E+02
 2.62100E+02	 6.16000E+02
 2.62485E+02	 6.18200E+02
 2.62870E+02	 6.16600E+02
 2.63255E+02	 6.17000E+02
 2.63639E+02	 6.16000E+02
 2.64024E+02	 6.17200E+02
 2.64409E+02	 6.17400E+02
 2.64794E+02	 6.18400E+02
 2.65178E+02	 6.16200E+02
 2.65563E+02	 6.17000E+02
 2.65948E+02	 6.16200E+02
 2.66332E+02	 6.15200E+02
 2.66717E+02	 6.16200E+02
 2.67102E+02	 6.17800E+02
 2.67486E+02	 6.18800E+02
 2.67871E+02	 6.15600E+02
 2.68255E+02	 6.17000E+02
 2.68640E+02	 6.15400E+02
 2.69024E+02	 6.18200E+02
 2.69409E+02	 6.17600E+02
 2.69793E+02	 6.16400E+02
 2.70177E+02	 6.16600E+02
 2.70562E+02	 6.17800E+02
 2.70946E+02	 6.18400E+02
 2.71330E+02	 6.15000E+02
 2.71715E+02	 6.17000E+02
 2.72099E+02	 6.16400E+02
 2.72483E+02	 6.15800E+02
 2.72867E+02	 6.15800E+02
 2.73252E+02	 6.15200E+02
 2.73636E+02	 6.15800E+02
 2.74020E+02	 6.15000E+02
 2.74404E+02	 6.14400E+02
 2.74788E+02	 6.16400E+02
 2.75172E+02	 6.13800E+02
 2.75556E+02	 6.17400E+02
 2.75940E+02	 6.14800E+02
 2.76324E+02	 6.15400E+02
 2.76708E+02	 6.14400E+02
 2.77092E+02	 6.15800E+02
 2.77476E+02	 6.15000E+02
 2.77860E+02	 6.16200E+02
 2.78244E+02	 6.16200E+02
 2.78627E+02	 6.14800E+02
 2.79011E+02	 6.15600E+02
 2.79395E+02	 6.16800E+02
 2.79779E+02	 6.17600E+02
 2.80162E+02	 6.15000E+02
 2.80546E+02	 6.17400E+02
 2.80930E+02	 6.16600E+02
 2.81313E+02	 6.15600E+02
 2.81697E+02	 6.16800E+02
 2.82081E+02	 6.16600E+02
 2.82464E+02	 6.16600E+02
 2.82848E+02	 6.15200E+02
 2.83231E+02	 6.15600E+02
 2.83615E+02	 6.16000E+02
 2.83998E+02	 6.15000E+02
 2.84382E+02	 6.15600E+02
 2.84765E+02	 6.14200E+02
 2.85148E+02	 6.14600E+02
 2.85532E+02	 6.15000E+02
 2.85915E+02	 6.15400E+02
 2.86298E+02	 6.17200E+02
 2.86682E+02	 6.13400E+02
 2.87065E+02	 6.16600E+02
 2.87448E+02	 6.16000E+02
 2.87831E+02	 6.16000E+02
 2.88214E+02	 6.14800E+02
 2.88598E+02	 6.14000E+02
 2.88981E+02	 6.14800E+02
 2.89364E+02	 6.15600E+02
 2.89747E+02	 6.16000E+02
 2.90130E+02	 6.14800E+02
 2.90513E+02	 6.13400E+02
 2.90896E+02	 6.14200E+02
 2.91279E+02	 6.16400E+02
 2.91662E+02	 6.15600E+02
 2.92045E+02	 6.13600E+02
 2.92428E+02	 6.13600E+02
 2.92810E+02	 6.16400E+02
 2.93193E+02	 6.16400E+02
 2.93576E+02	 6.15200E+02
 2.93959E+02	 6.15200E+02
 2.94342E+02	 6.14800E+02
 2.94724E+02	 6.16400E+02
 2.95107E+02	 6.16400E+02
 2.95490E+02	 6.15200E+02
 2.95872E+02	 6.15600E+02
 2.96255E+02	 6.13200E+02
 2.96638E+02	 6.15000E+02
 2.97020E+02	 6.17000E+02
 2.97403E+02	 6.15200E+02
 2.97785E+02	 6.15000E+02
