#	z_max	r_eq	V_L
3.35826e-09	2.464e-08	3.12472e-24
3.55857e-09	2.27169e-08	2.75849e-24
3.59607e-09	2.64234e-08	3.47783e-24
3.1943e-09	1.55837e-08	1.37824e-24
4.90755e-09	2.58426e-08	5.15452e-24
3.86026e-09	2.40161e-08	3.0654e-24
3.80772e-09	2.80939e-08	5.33182e-24
1.7697e-08	3.77724e-08	2.1265e-23
4.20527e-09	3.57067e-08	1.03897e-23
4.74074e-09	2.86291e-08	5.28779e-24
3.64082e-09	2.40161e-08	3.26924e-24
2.78786e-09	1.74231e-08	1.36288e-24
3.07775e-09	1.45772e-08	1.13309e-24
1.0505e-08	4.30319e-08	2.93361e-23
4.88017e-09	3.25956e-08	7.50245e-24
1.05058e-08	3.85676e-08	1.87452e-23
2.48964e-09	1.45772e-08	1.03333e-24
8.25533e-09	3.97308e-08	1.62697e-23
4.10104e-09	3.11674e-08	6.93252e-24
4.02877e-09	2.75483e-08	4.83751e-24
1.16454e-08	3.73684e-08	1.70299e-23
2.27144e-09	7.79184e-09	1.16547e-25
4.55558e-09	3.81721e-08	1.08874e-23
1.41285e-08	4.04876e-08	2.22988e-23
2.75577e-09	1.45772e-08	7.52845e-25
3.37937e-09	2.75483e-08	4.85975e-24
1.32118e-08	3.25956e-08	1.49759e-23
1.17602e-08	3.93469e-08	2.02982e-23
5.85196e-09	3.97308e-08	1.58256e-23
1.62407e-08	3.48462e-08	1.68585e-23
3.27478e-09	2.464e-08	3.48008e-24
9.22235e-09	4.15971e-08	2.3134e-23
4.88393e-09	2.64234e-08	5.17191e-24
2.46801e-09	1.45772e-08	7.14505e-25
6.53234e-09	4.44203e-08	2.44489e-23
1.35675e-08	4.15971e-08	2.49982e-23
7.71768e-09	3.81721e-08	1.5017e-23
4.37195e-09	2.75483e-08	5.12469e-24
1.58818e-08	4.40773e-08	3.23847e-23
4.97586e-09	4.23205e-08	1.47048e-23
3.76964e-09	1.98654e-08	1.97839e-24
4.99156e-09	4.50985e-08	1.76935e-23
1.15441e-08	3.06765e-08	1.13849e-23
6.96685e-09	3.97308e-08	1.74915e-23
8.88567e-09	5.25588e-08	4.28706e-23
4.88193e-09	3.44078e-08	9.04066e-24
4.46122e-09	1.9086e-08	2.70377e-24
3.16279e-09	2.27169e-08	2.47847e-24
9.47284e-09	2.75483e-08	5.53992e-24
9.36774e-09	2.96704e-08	3.448e-24
3.42257e-09	2.69917e-08	4.38567e-24
4.95414e-09	2.91544e-08	6.6695e-24
3.15677e-09	2.27169e-08	2.42346e-24
3.62396e-09	2.464e-08	2.86868e-24
4.30948e-09	3.16506e-08	8.2525e-24
1.12879e-08	3.3058e-08	1.1618e-23
4.98876e-09	3.93469e-08	1.19275e-23
1.53582e-08	3.44078e-08	1.47659e-23
3.45016e-09	2.52485e-08	3.8142e-24
8.95741e-09	3.6547e-08	1.67337e-23
1.0284e-08	3.57067e-08	1.64295e-23
1.44193e-08	3.6547e-08	1.94495e-23
4.36694e-09	2.52485e-08	3.88659e-24
4.13255e-09	2.33755e-08	3.49778e-24
3.86306e-09	1.10193e-08	6.30391e-25
4.06908e-09	2.52485e-08	4.89019e-24
1.09277e-08	3.25956e-08	1.34841e-23
4.15048e-09	3.11674e-08	7.16589e-24
4.93061e-09	3.44078e-08	1.05738e-23
5.62171e-09	3.93469e-08	1.45447e-23
5.32848e-09	3.52791e-08	1.05313e-23
3.91945e-09	2.58426e-08	4.6175e-24
3.55946e-09	1.74231e-08	2.13786e-24
4.02318e-09	1.9086e-08	2.17014e-24
2.57597e-09	1.232e-08	5.77757e-25
2.52846e-09	9.54302e-09	9.03976e-26
