#	z_max	r_eq	V_L
9.69128e-09	4.15971e-08	2.07304e-23
7.12921e-09	3.6547e-08	1.59655e-23
9.37125e-09	3.93469e-08	1.88996e-23
9.90327e-09	3.97308e-08	1.69166e-23
7.7257e-09	4.15971e-08	1.85045e-23
8.13477e-09	3.61293e-08	1.3843e-23
7.41711e-09	3.21266e-08	1.14704e-23
8.97573e-09	4.19604e-08	2.07171e-23
8.42265e-09	3.44078e-08	1.4836e-23
8.01068e-09	2.69917e-08	7.97806e-24
8.09345e-09	3.69599e-08	1.71787e-23
7.40017e-09	2.40161e-08	5.46339e-24
9.53911e-09	4.37316e-08	2.5553e-23
6.31846e-09	3.25956e-08	1.23152e-23
9.18451e-09	4.64253e-08	3.34168e-23
8.16869e-09	3.61293e-08	1.62704e-23
9.33668e-09	3.93469e-08	2.19586e-23
6.86762e-09	4.0111e-08	1.83294e-23
8.14657e-09	4.19604e-08	2.13952e-23
7.91758e-09	3.69599e-08	1.80927e-23
8.67778e-09	4.04876e-08	2.2927e-23
8.66719e-09	3.16506e-08	1.18996e-23
7.25176e-09	2.40161e-08	6.42717e-24
9.97128e-09	4.30319e-08	2.55893e-23
7.42118e-09	3.73684e-08	1.81892e-23
7.75139e-09	2.80939e-08	9.14055e-24
9.09982e-09	4.6751e-08	2.9725e-23
8.75577e-09	3.16506e-08	1.06138e-23
8.48853e-09	3.16506e-08	1.1245e-23
8.33432e-09	3.57067e-08	1.45735e-23
7.31494e-09	3.25956e-08	1.1348e-23
8.77511e-09	3.57067e-08	1.55132e-23
1.04606e-08	4.866e-08	3.42009e-23
8.83783e-09	4.19604e-08	2.19394e-23
9.38751e-09	4.44203e-08	2.52534e-23
7.87951e-09	3.6547e-08	1.49798e-23
7.86437e-09	4.12305e-08	2.16843e-23
8.85065e-09	3.97308e-08	2.10183e-23
9.24892e-09	4.44203e-08	2.57274e-23
8.12848e-09	3.21266e-08	1.10974e-23
7.14809e-09	3.25956e-08	1.31987e-23
9.12182e-09	3.97308e-08	2.12282e-23
7.82904e-09	3.57067e-08	1.43847e-23
7.65092e-09	2.80939e-08	9.83733e-24
8.32054e-09	3.97308e-08	2.09287e-23
8.64499e-09	4.47607e-08	2.59956e-23
9.73268e-09	4.08608e-08	2.26433e-23
