 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
114,0.0017,0,0.1606,0.3438,1.5124,0.0404,0.0517,0.0555,0.0393,76.2523,0.8343,0.0576,154,695,51.3402,0.0384,1.4133,0.7076,0.9352
115,0.0031,0,0.2222,2.4337,1.5124,0.0764,0.0472,0.0815,0.0480,175.5594,0.7829,0.0803,1083,689,17.9279,0.0453,1.6971,0.5893,0.9479
116,0.0015,0,0.1458,2.6742,1.5618,0.0494,0.0360,0.0517,0.0374,173.2427,0.8989,0.0524,1191,696,149.0362,0.0360,1.3837,0.7227,0.9556
117,0.0018,0,0.1553,0.7708,1.5663,0.0449,0.0472,0.0501,0.0445,61.2626,0.9129,0.0541,344,716,41.6335,0.0446,1.1251,0.8888,0.9455
118,0.0016,0,0.1482,3.0989,1.5730,0.0472,0.0427,0.0478,0.0413,32.0309,0.8872,0.0530,1379,717,36.3844,0.0427,1.1567,0.8645,0.9289
119,0.0017,0,0.1566,1.0854,1.5865,0.0517,0.0404,0.0533,0.0415,178.8389,0.8899,0.0553,483,721,26.5651,0.0404,1.2823,0.7798,0.9425
120,0.0038,0,0.2328,3.2404,1.5910,0.0697,0.0652,0.0712,0.0672,177.2501,0.8711,0.0786,1442,731,30.9638,0.0635,1.0587,0.9445,0.9466
121,0.0019,0,0.1606,0.9393,1.6247,0.0472,0.0449,0.0507,0.0472,39.7071,0.9155,0.0576,418,741,38.6598,0.0449,1.0753,0.9300,0.9600
122,0.0040,0,0.2412,0.1326,1.6629,0.0697,0.0674,0.0734,0.0695,23.1643,0.8646,0.0836,60,766,36.2538,0.0665,1.0558,0.9472,0.9526
123,0.0008,0,0.1437,2.5685,1.6876,0.0382,0.0404,0.0386,0.0278,113.5860,0.5133,0.0446,1144,753,130.9144,0.0361,1.3904,0.7192,0.7261
124,0.0019,0,0.1677,1.4382,1.6921,0.0494,0.0449,0.0514,0.0480,10.5820,0.8665,0.0598,640,770,34.2869,0.0449,1.0714,0.9334,0.9470
125,0.0005,0,0.1297,1.7753,1.7079,0.0360,0.0337,0.0336,0.0201,153.5813,0.3963,0.0418,792,760,126.2538,0.0278,1.6756,0.5968,0.5932
126,0.0014,0,0.1400,2.7640,1.7348,0.0449,0.0382,0.0468,0.0393,168.6618,0.9264,0.0499,1231,773,144.1623,0.0382,1.1918,0.8391,0.9502
127,0.0030,0,0.2079,0.9663,1.7371,0.0607,0.0584,0.0640,0.0591,24.7410,0.8645,0.0717,430,796,41.1859,0.0584,1.0830,0.9234,0.9508
128,0.0033,0,0.2156,2.1191,1.7798,0.0697,0.0539,0.0741,0.0561,176.6821,0.8819,0.0764,943,810,24.3045,0.0539,1.3218,0.7565,0.9613
129,0.0008,0,0.1082,3.2629,1.7820,0.0292,0.0315,0.0354,0.0304,69.7133,0.9055,0.0400,1453,807,51.8428,0.0292,1.1648,0.8585,0.9681
